# T2T Reference Prices
# Format: INDEX,PRICE
# Price is in dollars (will be converted to 4-decimal fixed-point)

0,185.50
1,378.25
2,141.75
3,178.00
4,495.30
5,505.15
6,248.50
7,412.80
8,520.00
9,155.20
10,280.45
11,165.00
12,195.50
13,485.75
14,155.30
15,385.20
16,155.00
17,165.80
18,125.40
19,58.50
20,185.25
21,920.50
22,575.00
23,535.80
24,285.50
25,48.75
26,250.30
27,105.20
28,340.50
29,75.80
30,555.00
31,55.25
32,105.50
33,175.80
34,405.00
35,95.50
36,295.80
37,42.50
38,125.00
39,165.30
40,42.80
41,35.50
42,18.25
43,165.00
44,155.50
45,105.80
46,215.00
47,175.50
48,95.25
49,455.00
